Date	Summary	Link to main commit	NAMD version	VMD version	LAMMPS version
2017-04-24	Include atoms of a named atom group with atomsOfGroup.	https://github.com/colvars/colvars/commit/e474517fde513520cfc5cce5977c441c0a3b03c7	x	x	x
2017-04-18	Dynamic dependencies, which enable multiple timestep colvars and biases.	https://github.com/colvars/colvars/commit/109298f574ca92d2152fd111b2a65f5a4c1f5864	x	x	x

